2022-01-26T12:55:36-04:00, ::1, OPTIONS, /api/powerbi/reportData, HTTP/1.1, 204, 0.066
2022-01-26T12:55:36-04:00, ::1, GET, /api/workspaces, HTTP/1.1, 304, 4.615
2022-01-26T12:55:36-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 5.260
2022-01-26T12:55:37-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.986
2022-01-26T12:55:37-04:00, ::1, GET, /api/reports/users, HTTP/1.1, 304, 6.400
2022-01-26T12:55:37-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 6.167
2022-01-26T12:55:37-04:00, ::1, GET, /api/users, HTTP/1.1, 304, 10.291
2022-01-26T12:55:37-04:00, ::1, POST, /api/powerbi/reportData, HTTP/1.1, 200, 960.045
2022-01-26T12:55:37-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 2.313
2022-01-26T12:55:37-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 3.370
2022-01-26T12:55:37-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 3.934
2022-01-26T12:55:38-04:00, ::1, GET, /api/reports/account, HTTP/1.1, 304, 2.531
2022-01-26T12:55:38-04:00, ::1, GET, /api/admins/logo, HTTP/1.1, 304, 3.866
2022-01-26T12:55:38-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 4.082
2022-01-26T12:55:39-04:00, ::1, GET, /api/workspaces, HTTP/1.1, 304, 3.443
2022-01-26T12:55:39-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 2.320
2022-01-26T12:55:39-04:00, ::1, POST, /api/powerbi/reportData, HTTP/1.1, 200, 755.373
2022-01-26T12:55:40-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.256
2022-01-26T12:55:40-04:00, ::1, GET, /api/reports/users, HTTP/1.1, 304, 4.371
2022-01-26T12:55:40-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 5.099
2022-01-26T12:55:40-04:00, ::1, GET, /api/users, HTTP/1.1, 304, 7.787
2022-01-26T12:55:40-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 4.039
2022-01-26T12:55:40-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 4.165
2022-01-26T12:55:40-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 5.136
2022-01-26T12:55:41-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 1.847
2022-01-26T13:09:34-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 401, 2.382
2022-01-26T13:09:34-04:00, ::1, GET, /api/reports, HTTP/1.1, 401, 1.248
2022-01-26T13:09:34-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 401, 0.975
2022-01-26T13:09:38-04:00, ::1, OPTIONS, /api/admins/signIn, HTTP/1.1, 204, 0.087
2022-01-26T13:09:38-04:00, ::1, POST, /api/admins/signIn, HTTP/1.1, 200, 3.080
2022-01-26T13:09:38-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 2.624
2022-01-26T13:09:38-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 3.560
2022-01-26T13:09:38-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 4.795
2022-01-26T13:09:39-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.373
2022-01-26T13:09:39-04:00, ::1, GET, /api/reports/users, HTTP/1.1, 304, 5.049
2022-01-26T13:09:39-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 4.997
2022-01-26T13:09:39-04:00, ::1, GET, /api/users, HTTP/1.1, 304, 8.338
2022-01-26T13:09:40-04:00, ::1, GET, /api/reports/account, HTTP/1.1, 304, 2.747
2022-01-26T13:09:40-04:00, ::1, GET, /api/admins/logo, HTTP/1.1, 304, 3.760
2022-01-26T13:09:40-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 4.668
2022-01-26T13:09:41-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.232
2022-01-26T13:09:41-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 16.336
2022-01-26T13:09:41-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 17.418
2022-01-26T13:20:32-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 401, 0.633
2022-01-26T13:20:33-04:00, ::1, OPTIONS, /api/admins/signIn, HTTP/1.1, 204, 0.093
2022-01-26T13:20:34-04:00, ::1, POST, /api/admins/signIn, HTTP/1.1, 200, 2.984
2022-01-26T13:20:34-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 2.763
